PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,AgeGroup,FareGroup,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
332,0,1,1.2402348569754682,0,0,-0.07458306872129913,-0.5609748304808925,1,2,2,False,True,False,False,True,False,False,True,False,False
734,0,2,-0.48888661775358344,0,0,-0.3866707201133388,-0.5609748304808925,1,1,1,False,True,False,False,True,False,False,True,False,False
383,0,3,0.20276197213803718,0,0,-0.4888542575852486,-0.5609748304808925,1,1,1,False,True,False,False,True,False,False,True,False,False
705,0,3,-0.2583370877897099,1,0,-0.4902797934380587,0.059159876663617626,0,1,0,False,True,False,False,True,False,False,True,False,False
814,0,3,-1.7953339542155335,4,2,-0.01870931177853076,3.1598334123861687,0,0,3,True,False,False,False,True,False,True,False,False,False
119,0,1,-0.41203677443229225,0,1,4.335332226633905,0.059159876663617626,0,1,3,False,True,True,False,False,False,False,True,False,False
537,0,1,1.2018099353148226,0,0,-0.11384570873513637,-0.5609748304808925,1,2,2,False,True,False,False,True,False,False,False,False,True
362,0,2,-0.027787557825836348,1,0,-0.09027201697708476,0.059159876663617626,0,1,2,False,True,True,False,False,False,False,True,False,False
30,0,3,-0.10463740114712752,0,0,-0.4894421904510968,-0.5609748304808925,1,1,0,False,True,False,False,True,False,False,True,False,False
56,1,1,-0.10463740114712752,0,0,0.06635974158478332,-0.5609748304808925,1,1,3,False,True,False,False,True,False,False,True,False,False
866,1,2,0.9712604053509489,0,0,-0.3866707201133388,-0.5609748304808925,1,2,1,True,False,False,False,True,False,False,False,True,False
596,0,3,0.5101613454232019,1,1,-0.1621689579829361,0.6792945838081278,0,2,2,False,True,False,False,True,False,False,True,False,False
240,0,2,0.27961181545932834,0,0,-0.4012683683236117,-0.5609748304808925,1,2,1,False,True,False,False,True,False,False,True,False,False
722,0,3,-0.9499856776813305,1,0,-0.5063875431873253,0.059159876663617626,0,1,0,False,True,False,False,True,False,False,True,False,False
82,1,3,-0.027787557825836348,0,0,-0.45714212526638004,-0.5609748304808925,1,1,1,False,True,False,False,True,False,False,True,False,False
260,1,2,1.5860591519212783,0,1,-0.12491978668775715,0.059159876663617626,0,3,2,True,False,False,False,True,False,False,False,True,False
487,1,1,0.4333115021019107,1,0,1.163700193253568,0.059159876663617626,0,2,3,True,False,False,False,True,False,False,False,True,False
717,1,1,0.6638610320657843,0,0,3.9327230485884233,-0.5609748304808925,1,2,3,True,False,True,False,False,False,True,False,False,False
801,0,2,0.35646165878061953,0,0,-0.3866707201133388,-0.5609748304808925,1,2,1,False,True,False,False,True,False,False,True,False,False
782,1,1,-0.9499856776813305,1,0,0.49925551609632224,0.059159876663617626,0,1,3,True,False,False,False,True,False,False,False,True,False
543,0,3,-1.4110847376090776,4,2,-0.01870931177853076,3.1598334123861687,0,0,3,True,False,False,False,True,False,True,False,False,False
327,0,3,2.4314074284554814,0,0,-0.5228315422126077,-0.5609748304808925,1,3,0,False,True,False,False,True,False,False,True,False,False
535,0,3,0.04906228549545483,0,0,-0.47400492578514347,-0.5609748304808925,1,1,1,True,False,False,False,True,False,True,False,False,False
536,1,2,-1.7184841108942424,0,2,-0.11988611489111134,0.6792945838081278,0,0,2,True,False,False,False,True,False,True,False,False,False
484,1,3,2.585107115098064,0,0,-0.455380340137554,-0.5609748304808925,1,3,1,True,False,False,False,True,False,False,False,True,False
763,1,3,-0.719436147717457,0,0,-0.5028639729296732,-0.5609748304808925,1,1,0,False,True,True,False,False,False,False,True,False,False
534,1,3,-0.10463740114712752,0,2,-0.19824427701513722,0.6792945838081278,0,1,2,True,False,True,False,False,False,False,False,True,False
714,0,3,-0.027787557825836348,0,0,-0.457478374542396,-0.5609748304808925,1,1,1,False,True,False,False,True,False,False,True,False,False
391,1,1,0.5101613454232019,1,2,1.7677408088510642,1.299429290952638,0,2,3,False,True,False,False,True,False,False,True,False,False
496,0,3,-0.10463740114712752,0,0,-0.3573083057891445,-0.5609748304808925,1,1,2,False,True,True,False,False,False,False,True,False,False
483,0,3,1.5860591519212783,0,0,-0.4863374216869257,-0.5609748304808925,1,3,1,False,True,False,False,True,False,False,True,False,False
378,0,1,-0.1814872444684187,0,2,3.610064686423428,0.6792945838081278,0,1,3,False,True,True,False,False,False,False,True,False,False
366,0,3,0.04906228549545483,0,0,-0.5024451714361923,-0.5609748304808925,1,1,0,False,True,False,False,True,False,False,True,False,False
413,1,1,0.27961181545932834,1,0,1.163700193253568,0.059159876663617626,0,2,3,True,False,False,True,False,False,True,False,False,False
469,0,3,-0.10463740114712752,0,0,-0.4928811950225652,-0.5609748304808925,1,1,0,False,True,False,True,False,False,False,True,False,False
410,0,3,-0.10463740114712752,3,1,-0.13565761536436197,1.9195639980971482,0,1,2,True,False,False,False,True,False,True,False,False,False
8,0,3,-2.1027333275006983,3,1,-0.22408312108167944,1.9195639980971482,0,0,2,False,True,False,False,True,True,False,False,False,False
581,1,2,-0.33518693111100106,1,1,-0.04438103794142432,0.6792945838081278,0,1,2,True,False,False,False,True,False,True,False,False,False
156,0,1,1.6629089952425695,0,1,0.5874293382238074,0.059159876663617626,0,3,3,False,True,True,False,False,False,False,True,False,False
881,1,2,-0.33518693111100106,0,1,-0.12491978668775715,0.059159876663617626,0,1,2,True,False,False,False,True,False,False,False,True,False
426,0,3,-0.10463740114712752,0,0,-0.5024451714361923,-0.5609748304808925,1,1,0,False,True,False,False,True,False,False,True,False,False
102,0,3,-0.10463740114712752,0,0,-0.4894421904510968,-0.5609748304808925,1,1,0,False,True,False,False,True,False,False,True,False,False
200,0,2,-0.41203677443229225,0,0,-0.3866707201133388,-0.5609748304808925,1,1,1,True,False,False,False,True,False,True,False,False,False
425,0,3,-0.8731358343600393,1,1,-0.2414492887801075,0.6792945838081278,0,1,2,False,True,False,False,True,False,False,True,False,False
299,1,1,-0.10463740114712752,0,0,-0.034313694348132716,-0.5609748304808925,1,1,2,False,True,False,False,True,False,False,True,False,False
885,0,3,-0.33518693111100106,0,0,-0.5064721088735089,-0.5609748304808925,1,1,0,False,True,False,False,True,False,False,True,False,False
248,1,2,-0.41203677443229225,0,2,-0.35646868933346404,0.6792945838081278,0,1,2,True,False,False,False,True,False,False,False,True,False
479,0,3,-0.5657364610748746,0,0,-0.4969926981460655,-0.5609748304808925,1,1,0,False,True,False,False,True,False,False,True,False,False
306,1,1,-2.1857311582876924,1,2,2.4029901895877646,1.299429290952638,0,0,3,False,True,False,False,True,True,False,False,False,False
317,1,2,-0.41203677443229225,1,0,-0.12491978668775715,0.059159876663617626,0,1,2,True,False,False,False,True,False,False,False,True,False
3,1,3,-0.2583370877897099,0,0,-0.4888542575852486,-0.5609748304808925,1,1,1,True,False,False,False,True,False,True,False,False,False
406,0,2,0.35646165878061953,1,0,-0.22559322262067316,0.059159876663617626,0,2,2,False,True,False,False,True,False,False,True,False,False
743,1,1,-0.6425863043961658,2,2,4.634416897040849,1.9195639980971482,0,1,3,True,False,True,False,False,False,True,False,False,False
261,0,3,-0.10463740114712752,0,0,-0.49237782784290063,-0.5609748304808925,1,1,0,False,True,False,True,False,False,False,True,False,False
368,1,3,-0.10463740114712752,0,0,-0.5028639729296732,-0.5609748304808925,1,1,0,True,False,True,False,False,False,False,False,True,False
159,0,3,-0.10463740114712752,0,0,-0.47400492578514347,-0.5609748304808925,1,1,1,False,True,False,False,True,False,False,True,False,False
555,1,3,-0.5657364610748746,0,0,-0.4918744606632361,-0.5609748304808925,1,1,0,True,False,False,False,True,False,True,False,False,False
830,1,1,2.5082572717767726,0,0,0.962353321387736,-0.5609748304808925,1,3,3,True,False,False,False,True,False,False,False,True,False
678,1,3,-0.8731358343600393,0,0,-0.45026210265472455,-0.5609748304808925,1,1,1,True,False,False,False,True,False,True,False,False,False
381,1,1,0.9712604053509489,0,0,3.9327230485884233,-0.5609748304808925,1,2,3,True,False,True,False,False,False,True,False,False,False
